t (in s);x (in m);y (in m);theta (in rad);v (in m/s);omega (in rad/s);phi (in rad);phiPoint (in rad/s);deltag (in rad);deltavmax (in rad);V (in m/s);psi (in rad);Vc (in m/s);psic (in rad);hw (in m);fg;fv;gamma;deltav (in rad);deltavmaxsimu (in rad);roll (in rad);pitch (in rad);yaw (in rad);latitude (in decimal degrees);longitude (in decimal degrees);winddir (in rad);windspeed (in m/s);heading (in rad);
0.000191;0.000347;0.000892;1.199995;4.999696;-0.025004;0.099996;-0.025444;0.000000;0.000000;16.238206;1.449589;0.000000;-1.822242;0.000000;0.000000;-186.599768;1.924351;-0.300000;0.300000;5.729359;0.000000;-21.245339;48.376687;-4.492376;186.944688;16.238206;21.245339;
0.020685;0.037475;0.096389;1.199483;4.967605;-0.025627;0.099475;-0.666350;0.000000;0.000000;16.541490;1.508539;0.000000;-1.444937;0.000000;0.000000;-208.039328;1.908113;-0.300000;0.300000;5.699483;0.000000;-21.274698;48.376688;-4.492375;183.567060;16.541490;21.274698;
0.040871;0.073859;0.189833;1.198965;4.936604;-0.026272;0.086024;-1.281566;0.000000;0.000000;16.648843;1.526898;0.000000;-1.791023;-0.000000;0.000000;-215.022990;1.902213;-0.300000;0.300000;4.928785;0.000000;-21.304338;48.376689;-4.492375;182.515192;16.648843;21.304338;
0.061273;0.110451;0.283665;1.198429;4.906430;-0.027192;0.059878;-1.950138;0.000000;0.000000;16.965127;1.625607;0.000000;-1.307635;0.000000;0.000000;-247.962028;1.865697;-0.300000;0.300000;3.430736;0.000000;-21.335049;48.376690;-4.492375;176.859603;16.965127;21.335049;
0.081676;0.146872;0.376912;1.197875;4.875798;-0.027689;0.020088;-2.451793;0.000000;0.000000;15.658240;1.541959;0.000000;-1.614742;0.000000;0.000000;-206.696515;1.896908;-0.300000;0.300000;1.150966;0.000000;-21.366837;48.376690;-4.492374;181.652274;15.658240;21.366837;
0.102062;0.183087;0.469479;1.197310;4.844862;-0.027836;-0.029894;-2.800013;0.000000;0.000000;15.008291;1.442730;0.000000;-1.612259;-0.000000;0.000000;-171.131728;1.925509;-0.300000;0.300000;-1.712809;0.000000;-21.399178;48.376691;-4.492374;187.337651;15.008291;21.399178;
0.122456;0.219137;0.561472;1.196743;4.815122;-0.028300;-0.086997;-3.189310;0.000000;0.000000;16.662456;1.496802;0.000000;-1.427301;-0.000000;0.000000;-206.829526;1.910823;-0.300000;0.300000;-4.984549;0.000000;-21.431703;48.376692;-4.492373;184.239555;16.662456;21.431703;
0.142784;0.254903;0.652588;1.196167;4.785669;-0.028645;-0.151831;-3.483662;0.000000;0.000000;15.853881;1.494822;0.000000;-1.484902;0.000000;0.000000;-196.385885;1.911239;-0.300000;0.300000;-8.699259;0.000000;-21.464665;48.376693;-4.492373;184.352995;15.853881;21.464665;
0.163118;0.290512;0.743148;1.195585;4.757151;-0.029197;-0.222666;-3.776594;0.000000;0.000000;16.111776;1.569834;0.000000;-1.456398;0.000000;0.000000;-221.131504;1.886331;-0.300000;0.300000;-12.757814;0.000000;-21.498038;48.376694;-4.492372;180.055112;16.111776;21.498038;
0.183487;0.326023;0.833308;1.194990;4.728380;-0.029469;-0.299594;-3.920328;0.000000;0.000000;16.980008;1.439453;0.000000;-1.674935;0.000000;0.000000;-193.298643;1.925748;-0.300000;0.300000;-17.165462;0.000000;-21.532114;48.376694;-4.492372;187.525426;16.980008;21.532114;
0.203892;0.361433;0.923054;1.194389;4.700052;-0.029767;-0.379585;-4.001881;0.000000;0.000000;16.308317;1.478484;0.000000;-1.206225;0.000000;0.000000;-197.668990;1.915421;-0.300000;0.300000;-21.748594;0.000000;-21.566565;48.376695;-4.492371;185.289111;16.308317;21.566565;
0.224293;0.396679;1.012227;1.193781;4.672449;-0.030190;-0.461228;-4.047343;0.000000;0.000000;15.075137;1.592127;0.000000;-1.187500;-0.000000;0.000000;-213.082402;1.877276;-0.300000;0.300000;-26.426405;0.000000;-21.601360;48.376696;-4.492371;178.777856;15.075137;21.601360;
0.244692;0.431769;1.100848;1.193166;4.645093;-0.030536;-0.543791;-4.000231;0.000000;0.000000;16.231282;1.511846;0.000000;-1.303937;0.000000;0.000000;-206.917954;1.905179;-0.300000;0.300000;-31.156920;0.000000;-21.636646;48.376697;-4.492370;183.377597;16.231282;21.636646;
0.265111;0.466740;1.189012;1.192542;4.618033;-0.030843;-0.625470;-3.873673;0.000000;0.000000;15.339007;1.544575;0.000000;-1.365163;-0.000000;0.000000;-204.603425;1.894225;-0.300000;0.300000;-35.836802;0.000000;-21.672370;48.376698;-4.492370;181.502390;15.339007;21.672370;
0.285555;0.501607;1.276752;1.191912;4.592547;-0.031661;-0.704666;-3.805301;0.000000;0.000000;16.879309;1.676439;0.000000;-1.881701;0.000000;0.000000;-262.186018;1.840525;-0.300000;0.300000;-40.374382;0.000000;-21.708500;48.376698;-4.492369;173.947100;16.879309;21.708500;
0.305974;0.536293;1.363876;1.191265;4.567421;-0.032430;-0.782366;-3.657793;0.000000;0.000000;16.843608;1.675415;0.000000;-1.744424;0.000000;0.000000;-261.527987;1.840708;-0.300000;0.300000;-44.826290;0.000000;-21.745541;48.376699;-4.492369;174.005820;16.843608;21.745541;
0.326390;0.570839;1.450486;1.190603;4.541076;-0.032499;-0.857041;-3.297838;0.000000;0.000000;15.300349;1.487915;0.000000;-1.887786;0.000000;0.000000;-189.131194;1.911658;-0.300000;0.300000;-49.104850;0.000000;-21.783474;48.376700;-4.492368;184.748759;15.300349;21.783474;
0.346721;0.605102;1.536220;1.189942;4.516503;-0.033122;-0.924092;-3.002091;0.000000;0.000000;15.948371;1.685653;0.000000;-1.231413;0.000000;0.000000;-250.481557;1.835281;-0.300000;0.300000;-52.946546;0.000000;-21.821333;48.376701;-4.492368;173.419170;15.948371;21.821333;
0.367172;0.639435;1.621967;1.189265;4.491469;-0.033444;-0.985486;-2.604360;0.000000;0.000000;15.173203;1.612267;0.000000;-1.386077;0.000000;0.000000;-220.692396;1.867475;-0.300000;0.300000;-56.464175;0.000000;-21.860142;48.376702;-4.492367;177.623890;15.173203;21.860142;
0.387610;0.673616;1.707165;1.188581;4.467299;-0.033970;-1.038715;-2.208142;0.000000;0.000000;16.615301;1.622996;0.000000;-1.817065;0.000000;0.000000;-244.779900;1.862741;-0.300000;0.300000;-59.513988;0.000000;-21.899307;48.376702;-4.492367;177.009178;16.615301;21.899307;
0.408006;0.707599;1.791703;1.187888;4.442371;-0.033992;-1.083751;-1.710857;0.000000;0.000000;16.272668;1.456561;0.000000;-1.205029;0.000000;0.000000;-192.578188;1.919644;-0.300000;0.300000;-62.094372;0.000000;-21.939003;48.376703;-4.492366;186.545215;16.272668;21.939003;
0.428427;0.741494;1.875854;1.187194;4.418257;-0.034234;-1.118690;-1.233890;0.000000;0.000000;16.780531;1.515600;0.000000;-1.639196;0.000000;0.000000;-216.812441;1.902118;-0.300000;0.300000;-64.096194;0.000000;-21.978776;48.376704;-4.492366;183.162496;16.780531;21.978776;
0.448828;0.775228;1.959437;1.186496;4.395179;-0.034760;-1.143861;-0.791837;0.000000;0.000000;16.192754;1.662292;0.000000;-1.369719;0.000000;0.000000;-249.292146;1.844585;-0.300000;0.300000;-65.538433;0.000000;-22.018791;48.376705;-4.492366;174.757681;16.192754;22.018791;
0.469250;0.808879;2.042648;1.185786;4.370940;-0.034652;-1.160032;-0.274626;0.000000;0.000000;15.378992;1.457147;0.000000;-1.350154;-0.000000;0.000000;-182.763432;1.918933;-0.300000;0.300000;-66.464953;0.000000;-22.059463;48.376705;-4.492365;186.511610;15.378992;22.059463;
0.489670;0.842401;2.125372;1.185078;4.347978;-0.034959;-1.165640;0.177752;0.000000;0.000000;15.943920;1.591998;0.000000;-1.338245;0.000000;0.000000;-227.631883;1.873961;-0.300000;0.300000;-66.786274;0.000000;-22.100007;48.376706;-4.492365;178.785257;15.943920;22.100007;
0.510091;0.875805;2.207636;1.184365;4.325702;-0.035417;-1.162011;0.590736;0.000000;0.000000;15.264964;1.706446;0.000000;-1.350878;0.000000;0.000000;-245.853325;1.822475;-0.300000;0.300000;-66.578303;0.000000;-22.140909;48.376707;-4.492364;172.227820;15.264964;22.140909;
0.530512;0.909098;2.289460;1.183641;4.302765;-0.035452;-1.149947;1.025394;0.000000;0.000000;16.086770;1.492297;0.000000;-1.149106;0.000000;0.000000;-202.142689;1.908299;-0.300000;0.300000;-65.887103;0.000000;-22.182349;48.376708;-4.492364;184.497685;16.086770;22.182349;
0.550934;0.942275;2.370827;1.182917;4.281118;-0.035910;-1.129006;1.374782;0.000000;0.000000;15.693839;1.687622;0.000000;-1.118947;0.000000;0.000000;-248.633079;1.831004;-0.300000;0.300000;-64.687300;0.000000;-22.223831;48.376708;-4.492363;173.306397;15.693839;22.223831;
0.571333;0.975305;2.451669;1.182185;4.259575;-0.036263;-1.100962;1.695670;0.000000;0.000000;15.280179;1.677019;0.000000;-1.329926;0.000000;0.000000;-239.763562;1.835732;-0.300000;0.300000;-63.080503;0.000000;-22.265801;48.376709;-4.492363;173.913908;15.280179;22.265801;
0.591781;1.008307;2.532274;1.181443;4.237818;-0.036417;-1.066290;1.998778;0.000000;0.000000;16.788293;1.519641;0.000000;-1.550830;-0.000000;0.000000;-219.815366;1.898936;-0.300000;0.300000;-61.093892;0.000000;-22.308286;48.376710;-4.492362;182.930976;16.788293;22.308286;
0.612250;1.041235;2.612526;1.180698;4.216964;-0.036840;-1.025376;2.214961;0.000000;0.000000;16.220346;1.658087;0.000000;-1.742491;0.000000;0.000000;-250.110818;1.843876;-0.300000;0.300000;-58.749726;0.000000;-22.350996;48.376710;-4.492362;174.998591;16.220346;22.350996;
0.632672;1.073984;2.692175;1.179946;4.195571;-0.036883;-0.980142;2.434814;0.000000;0.000000;15.660653;1.539704;0.000000;-1.704004;-0.000000;0.000000;-210.969324;1.891583;-0.300000;0.300000;-56.158021;0.000000;-22.394102;48.376711;-4.492361;181.781437;15.660653;22.394102;
0.653080;1.106604;2.771341;1.179193;4.174156;-0.036798;-0.930452;2.623508;0.000000;0.000000;16.125684;1.468972;0.000000;-1.849073;0.000000;0.000000;-197.090371;1.913858;-0.300000;0.300000;-53.310998;0.000000;-22.437230;48.376712;-4.492361;185.834104;16.125684;22.437230;
0.673485;1.139113;2.850068;1.178442;4.153663;-0.036995;-0.876919;2.708922;0.000000;0.000000;16.946426;1.535817;0.000000;-1.684929;0.000000;0.000000;-227.587392;1.892417;-0.300000;0.300000;-50.243785;0.000000;-22.480252;48.376713;-4.492361;182.004191;16.946426;22.480252;
0.693895;1.171528;2.928402;1.177687;4.132878;-0.036956;-0.821631;2.782151;0.000000;0.000000;16.250528;1.481509;0.000000;-1.212052;-0.000000;0.000000;-202.770158;1.909762;-0.300000;0.300000;-47.075963;0.000000;-22.523514;48.376713;-4.492360;185.115812;16.250528;22.523514;
0.714318;1.203860;3.006366;1.176932;4.113497;-0.037411;-0.764813;2.700639;0.000000;0.000000;16.538211;1.661231;0.000000;-1.376425;0.000000;0.000000;-256.796791;1.840689;-0.300000;0.300000;-43.820550;0.000000;-22.566756;48.376714;-4.492360;174.818466;16.538211;22.566756;
0.734737;1.236094;3.083932;1.176168;4.093060;-0.037297;-0.709666;2.683462;0.000000;0.000000;15.507354;1.492055;0.000000;-1.134020;0.000000;0.000000;-196.870317;1.906095;-0.300000;0.300000;-40.660862;0.000000;-22.610526;48.376715;-4.492359;184.511570;15.507354;22.610526;
0.755182;1.268267;3.161182;1.175406;4.073072;-0.037285;-0.654803;2.594656;0.000000;0.000000;15.132279;1.549066;0.000000;-1.206611;-0.000000;0.000000;-207.487698;1.886612;-0.300000;0.300000;-37.517445;0.000000;-22.654216;48.376715;-4.492359;181.245082;15.132279;22.654216;
0.775575;1.300259;3.237834;1.174645;4.054802;-0.037879;-0.601892;2.315861;0.000000;0.000000;16.780848;1.711339;0.000000;-1.122690;0.000000;0.000000;-273.901908;1.815129;-0.300000;0.300000;-34.485857;0.000000;-22.697780;48.376716;-4.492358;171.947517;16.780848;22.697780;
0.795978;1.332182;3.314156;1.173872;4.035079;-0.037740;-0.554641;2.170330;0.000000;0.000000;15.129898;1.507176;0.000000;-1.845820;-0.000000;0.000000;-196.781497;1.900556;-0.300000;0.300000;-31.778608;0.000000;-22.742061;48.376717;-4.492358;183.645160;15.129898;22.742061;
0.816377;1.364003;3.390070;1.173103;4.015796;-0.037695;-0.510368;1.967239;0.000000;0.000000;15.136547;1.541995;0.000000;-1.410384;-0.000000;0.000000;-206.300389;1.888341;-0.300000;0.300000;-29.241916;0.000000;-22.786172;48.376717;-4.492358;181.650201;15.136547;22.786172;
0.836797;1.395762;3.465674;1.172333;3.996053;-0.037370;-0.470196;1.807554;0.000000;0.000000;15.260894;1.422651;0.000000;-1.126372;0.000000;0.000000;-175.357652;1.924360;-0.300000;0.300000;-26.940264;0.000000;-22.830275;48.376718;-4.492357;188.488083;15.260894;22.830275;
0.857218;1.427424;3.540882;1.171570;3.978422;-0.037858;-0.433285;1.408450;0.000000;0.000000;16.219526;1.699591;0.000000;-1.272219;0.000000;0.000000;-262.654402;1.819527;-0.300000;0.300000;-24.825409;0.000000;-22.873998;48.376719;-4.492357;172.620625;16.219526;22.873998;
0.877618;1.458971;3.615659;1.170797;3.959204;-0.037554;-0.404553;1.203299;0.000000;0.000000;15.081139;1.439919;0.000000;-1.188589;0.000000;0.000000;-178.580436;1.919546;-0.300000;0.300000;-23.179186;0.000000;-22.918247;48.376720;-4.492356;187.498732;15.081139;22.918247;
0.898051;1.490475;3.690172;1.170030;3.941323;-0.037750;-0.379966;0.850189;0.000000;0.000000;15.186613;1.637130;0.000000;-1.210264;0.000000;0.000000;-231.701350;1.848560;-0.300000;0.300000;-21.770440;0.000000;-22.962213;48.376720;-4.492356;176.199366;15.186613;22.962213;
0.918458;1.521853;3.764232;1.169260;3.923248;-0.037758;-0.362615;0.543408;0.000000;0.000000;15.215970;1.556370;0.000000;-1.796687;-0.000000;0.000000;-212.135407;1.881631;-0.300000;0.300000;-20.776337;0.000000;-23.006354;48.376721;-4.492355;180.826543;15.215970;23.006354;
0.938880;1.553166;3.837978;1.168489;3.906087;-0.038069;-0.351518;0.152312;0.000000;0.000000;16.083743;1.635833;0.000000;-1.292196;0.000000;0.000000;-245.450320;1.848451;-0.300000;0.300000;-20.140519;0.000000;-23.050533;48.376722;-4.492355;176.273648;16.083743;23.050533;
0.959301;1.584399;3.911376;1.167711;3.888972;-0.038301;-0.348408;-0.210148;0.000000;0.000000;16.703416;1.574941;0.000000;-1.861715;-0.000000;0.000000;-238.542664;1.873866;-0.300000;0.300000;-19.962305;0.000000;-23.095076;48.376722;-4.492355;179.762507;16.703416;23.095076;
0.979679;1.615485;3.984274;1.166931;3.872540;-0.038712;-0.352690;-0.608800;0.000000;0.000000;16.626548;1.656556;0.000000;-1.194687;0.000000;0.000000;-259.538347;1.838212;-0.300000;0.300000;-20.207667;0.000000;-23.139795;48.376723;-4.492354;175.086326;16.626548;23.139795;
1.000103;1.646566;4.057004;1.166140;3.854792;-0.038483;-0.365125;-0.808365;0.000000;0.000000;16.376836;1.427561;0.000000;-1.777674;0.000000;0.000000;-191.573600;1.921564;-0.300000;0.300000;-20.920095;0.000000;-23.185096;48.376723;-4.492354;188.206787;16.376836;23.185096;
1.020524;1.677558;4.129366;1.165354;3.838298;-0.038711;-0.381632;-1.110508;0.000000;0.000000;16.864863;1.570870;0.000000;-1.481854;0.000000;0.000000;-240.361654;1.874545;-0.300000;0.300000;-21.865914;0.000000;-23.230123;48.376724;-4.492353;179.995791;16.864863;23.230123;
1.040952;1.708485;4.201418;1.164563;3.821130;-0.038566;-0.404318;-1.280508;0.000000;0.000000;16.621475;1.446644;0.000000;-1.637673;0.000000;0.000000;-200.791725;1.916035;-0.300000;0.300000;-23.165706;0.000000;-23.275432;48.376725;-4.492353;187.113382;16.621475;23.275432;
1.061401;1.739361;4.273197;1.163775;3.804196;-0.038453;-0.430503;-1.427854;0.000000;0.000000;16.150991;1.474517;0.000000;-1.163036;-0.000000;0.000000;-203.538804;1.907684;-0.300000;0.300000;-24.666004;0.000000;-23.320617;48.376725;-4.492352;185.516396;16.150991;23.320617;
1.081806;1.770090;4.344478;1.162990;3.787702;-0.038438;-0.459637;-1.567877;0.000000;0.000000;15.621338;1.534239;0.000000;-1.475670;0.000000;0.000000;-213.539018;1.887496;-0.300000;0.300000;-26.335278;0.000000;-23.365572;48.376726;-4.492352;182.094564;15.621338;23.365572;
1.102228;1.800768;4.415487;1.162205;3.770945;-0.038240;-0.491656;-1.624291;0.000000;0.000000;15.436692;1.469122;0.000000;-1.496665;-0.000000;0.000000;-193.471838;1.908843;-0.300000;0.300000;-28.169839;0.000000;-23.410547;48.376727;-4.492352;185.825489;15.436692;23.410547;
1.122623;1.831325;4.486065;1.161425;3.755697;-0.038604;-0.524784;-1.794181;0.000000;0.000000;15.272535;1.719449;0.000000;-1.322432;0.000000;0.000000;-254.026792;1.804052;-0.300000;0.300000;-30.067916;0.000000;-23.455233;48.376727;-4.492351;171.482810;15.272535;23.455233;
1.142956;1.861721;4.556120;1.160640;3.740257;-0.038777;-0.561266;-1.877234;0.000000;0.000000;15.791540;1.604922;0.000000;-1.533490;-0.000000;0.000000;-235.152594;1.858593;-0.300000;0.300000;-32.158154;0.000000;-23.500207;48.376728;-4.492351;178.044753;15.791540;23.500207;
1.163345;1.892130;4.626056;1.159850;3.725424;-0.039145;-0.599541;-1.972097;0.000000;0.000000;16.404842;1.654948;0.000000;-1.728994;-0.000000;0.000000;-257.463004;1.835634;-0.300000;0.300000;-34.351162;0.000000;-23.545507;48.376729;-4.492350;175.178462;16.404842;23.545507;
1.183739;1.922481;4.695708;1.159051;3.710374;-0.039336;-0.639760;-1.984044;0.000000;0.000000;15.354917;1.650357;0.000000;-1.460340;-0.000000;0.000000;-240.083772;1.837430;-0.300000;0.300000;-36.655572;0.000000;-23.591249;48.376729;-4.492350;175.441500;15.354917;23.591249;
1.204181;1.952835;4.765214;1.158247;3.694638;-0.039173;-0.680317;-1.872720;0.000000;0.000000;15.330357;1.502441;0.000000;-1.808104;0.000000;0.000000;-202.330583;1.896955;-0.300000;0.300000;-38.979312;0.000000;-23.637320;48.376730;-4.492350;183.916484;15.330357;23.637320;
1.224613;1.983103;4.834371;1.157447;3.679164;-0.039055;-0.718581;-1.738145;0.000000;0.000000;15.399826;1.512810;0.000000;-1.286140;0.000000;0.000000;-206.263305;1.893135;-0.300000;0.300000;-41.171673;0.000000;-23.683179;48.376730;-4.492349;183.322375;15.399826;23.683179;
1.245015;2.013254;4.903112;1.156650;3.664684;-0.039283;-0.754043;-1.652119;0.000000;0.000000;15.639528;1.644261;0.000000;-1.553623;-0.000000;0.000000;-243.638209;1.839164;-0.300000;0.300000;-43.203487;0.000000;-23.728832;48.376731;-4.492349;175.790785;15.639528;23.728832;
1.265435;2.043366;4.971615;1.155848;3.649818;-0.039276;-0.787778;-1.486340;0.000000;0.000000;15.208100;1.570593;0.000000;-1.674596;0.000000;0.000000;-219.088117;1.870879;-0.300000;0.300000;-45.136352;0.000000;-23.774791;48.376732;-4.492348;180.011651;15.208100;23.774791;
1.285767;2.073284;5.039529;1.155049;3.634901;-0.039154;-0.818000;-1.273964;0.000000;0.000000;15.139062;1.524375;0.000000;-1.604225;-0.000000;0.000000;-206.440370;1.888196;-0.300000;0.300000;-46.867919;0.000000;-23.820546;48.376732;-4.492348;182.659763;15.139062;23.820546;
1.306169;2.103234;5.107369;1.154251;3.620661;-0.039279;-0.843990;-1.093763;0.000000;0.000000;15.850099;1.586249;0.000000;-1.375060;0.000000;0.000000;-232.850511;1.863801;-0.300000;0.300000;-48.357083;0.000000;-23.866314;48.376733;-4.492348;179.114614;15.850099;23.866314;
1.326590;2.133149;5.174984;1.153448;3.606192;-0.039242;-0.866326;-0.867049;0.000000;0.000000;16.620544;1.485717;0.000000;-1.549125;-0.000000;0.000000;-215.855018;1.900903;-0.300000;0.300000;-49.636813;0.000000;-23.912271;48.376734;-4.492347;184.874679;16.620544;23.912271;
1.346894;2.162829;5.241921;1.152652;3.592094;-0.039266;-0.883931;-0.644399;0.000000;0.000000;15.587779;1.558581;0.000000;-1.261269;0.000000;0.000000;-222.265702;1.874386;-0.300000;0.300000;-50.645502;0.000000;-23.957923;48.376734;-4.492347;180.699862;15.587779;23.957923;
1.367312;2.192611;5.308945;1.151850;3.578613;-0.039520;-0.897088;-0.460007;0.000000;0.000000;15.599434;1.658942;0.000000;-1.446966;-0.000000;0.000000;-247.686792;1.829886;-0.300000;0.300000;-51.399365;0.000000;-24.003859;48.376735;-4.492346;174.949630;15.599434;24.003859;
1.387598;2.222142;5.375261;1.151048;3.565677;-0.039894;-0.906420;-0.298774;0.000000;0.000000;16.150169;1.682982;0.000000;-1.262353;-0.000000;0.000000;-262.461078;1.817571;-0.300000;0.300000;-51.934015;0.000000;-24.049792;48.376735;-4.492346;173.572224;16.150169;24.049792;
1.408063;2.251880;5.441898;1.150232;3.551569;-0.039748;-0.912534;-0.042244;0.000000;0.000000;15.105789;1.524670;0.000000;-1.621332;-0.000000;0.000000;-207.312695;1.886348;-0.300000;0.300000;-52.284349;0.000000;-24.096570;48.376736;-4.492346;182.642841;15.105789;24.096570;
1.428473;2.281475;5.508070;1.149421;3.537743;-0.039650;-0.913396;0.197670;0.000000;0.000000;15.114835;1.540778;0.000000;-1.359594;0.000000;0.000000;-211.805517;1.880038;-0.300000;0.300000;-52.333750;0.000000;-24.143052;48.376737;-4.492345;181.719905;15.114835;24.143052;
1.448871;2.310991;5.573919;1.148612;3.524908;-0.039914;-0.909364;0.360112;0.000000;0.000000;15.709794;1.661558;0.000000;-1.247582;0.000000;0.000000;-250.833663;1.827035;-0.300000;0.300000;-52.102734;0.000000;-24.189391;48.376737;-4.492345;174.799731;15.709794;24.189391;
1.469292;2.340486;5.639582;1.147797;3.511994;-0.040081;-0.902010;0.525152;0.000000;0.000000;15.569508;1.632021;0.000000;-1.281337;-0.000000;0.000000;-241.722486;1.840752;-0.300000;0.300000;-51.681383;0.000000;-24.236092;48.376738;-4.492344;176.492085;15.569508;24.236092;
1.489617;2.369788;5.704672;1.146982;3.499158;-0.040190;-0.891337;0.682317;0.000000;0.000000;16.877577;1.537849;0.000000;-1.215475;-0.000000;0.000000;-236.365411;1.880226;-0.300000;0.300000;-51.069825;0.000000;-24.282768;48.376738;-4.492344;181.887758;16.877577;24.282768;
1.509913;2.398993;5.769407;1.146166;3.485684;-0.039960;-0.877488;0.883080;0.000000;0.000000;16.430401;1.432130;0.000000;-1.151997;0.000000;0.000000;-199.647364;1.914957;-0.300000;0.300000;-50.276378;0.000000;-24.329503;48.376739;-4.492344;187.945009;16.430401;24.329503;
1.530225;2.428162;5.833920;1.145355;3.472928;-0.039993;-0.859551;1.012890;0.000000;0.000000;15.988285;1.548535;0.000000;-1.355234;-0.000000;0.000000;-227.235300;1.875472;-0.300000;0.300000;-49.248662;0.000000;-24.376008;48.376739;-4.492343;181.275455;15.988285;24.376008;
1.550521;2.457255;5.898125;1.144543;3.460703;-0.040190;-0.838993;1.085958;0.000000;0.000000;16.040285;1.615169;0.000000;-1.788715;0.000000;0.000000;-245.609533;1.846989;-0.300000;0.300000;-48.070760;0.000000;-24.422516;48.376740;-4.492343;177.457628;16.040285;24.422516;
1.570784;2.486249;5.961976;1.143729;3.448832;-0.040466;-0.816988;1.116767;0.000000;0.000000;15.480564;1.692744;0.000000;-1.482059;0.000000;0.000000;-255.460571;1.808800;-0.300000;0.300000;-46.809967;0.000000;-24.469176;48.376741;-4.492342;173.012921;15.480564;24.469176;
1.591073;2.515231;6.025663;1.142908;3.436503;-0.040490;-0.794330;1.172448;0.000000;0.000000;15.981254;1.553768;0.000000;-1.623282;-0.000000;0.000000;-229.187159;1.872442;-0.300000;0.300000;-45.511780;0.000000;-24.516216;48.376741;-4.492342;180.975650;15.981254;24.516216;
1.611391;2.544205;6.089191;1.142085;3.423554;-0.040207;-0.770508;1.267638;0.000000;0.000000;16.061872;1.428910;0.000000;-1.662869;-0.000000;0.000000;-195.420940;1.914716;-0.300000;0.300000;-44.146882;0.000000;-24.563352;48.376742;-4.492342;188.129505;16.061872;24.563352;
1.631709;2.573120;6.152455;1.141268;3.410774;-0.039955;-0.744753;1.332588;0.000000;0.000000;15.530770;1.457549;0.000000;-1.342828;0.000000;0.000000;-197.263015;1.905989;-0.300000;0.300000;-42.671210;0.000000;-24.610158;48.376742;-4.492341;186.488571;15.530770;24.610158;
1.652091;2.602070;6.215659;1.140454;3.399637;-0.040373;-0.717592;1.225769;0.000000;0.000000;16.246092;1.695806;0.000000;-1.413587;-0.000000;0.000000;-269.585949;1.805480;-0.300000;0.300000;-41.115004;0.000000;-24.656817;48.376743;-4.492341;172.837446;16.246092;24.656817;
1.672391;2.630861;6.278379;1.139634;3.387404;-0.040239;-0.692709;1.216269;0.000000;0.000000;15.923943;1.487573;0.000000;-1.836369;0.000000;0.000000;-211.208639;1.895693;-0.300000;0.300000;-39.689304;0.000000;-24.703775;48.376743;-4.492340;184.768361;15.923943;24.703775;
1.692653;2.659545;6.340732;1.138819;3.376353;-0.040552;-0.668065;1.082625;0.000000;0.000000;16.917918;1.612362;0.000000;-1.744655;-0.000000;0.000000;-259.825503;1.845666;-0.300000;0.300000;-38.277325;0.000000;-24.750489;48.376744;-4.492340;177.618445;16.917918;24.750489;
1.712951;2.688239;6.402972;1.137996;3.364792;-0.040596;-0.646090;0.990431;0.000000;0.000000;15.595578;1.580771;0.000000;-1.346264;-0.000000;0.000000;-231.844090;1.859255;-0.300000;0.300000;-37.018206;0.000000;-24.797652;48.376745;-4.492340;179.428518;15.595578;24.797652;
1.733325;2.716991;6.465204;1.137169;3.353770;-0.040836;-0.625911;0.833984;0.000000;0.000000;15.541752;1.673838;0.000000;-1.408391;0.000000;0.000000;-253.656291;1.815175;-0.300000;0.300000;-35.862047;0.000000;-24.845041;48.376745;-4.492339;174.096135;15.541752;24.845041;
1.753699;2.745701;6.527210;1.136337;3.341868;-0.040647;-0.608919;0.767055;0.000000;0.000000;15.363073;1.499069;0.000000;-1.591675;-0.000000;0.000000;-207.733076;1.890562;-0.300000;0.300000;-34.888502;0.000000;-24.892711;48.376746;-4.492339;184.109647;15.363073;24.892711;
1.774033;2.774304;6.588849;1.135510;3.329999;-0.040422;-0.593322;0.699096;0.000000;0.000000;15.833356;1.457642;0.000000;-1.863648;0.000000;0.000000;-202.764063;1.904161;-0.300000;0.300000;-33.994852;0.000000;-24.940066;48.376746;-4.492338;186.483278;15.833356;24.940066;
1.794332;2.802807;6.650141;1.134690;3.318431;-0.040279;-0.579131;0.603069;0.000000;0.000000;16.945336;1.435568;0.000000;-1.796312;0.000000;0.000000;-210.514931;1.910656;-0.300000;0.300000;-33.181780;0.000000;-24.987078;48.376747;-4.492338;187.748038;16.945336;24.987078;
1.814648;2.831285;6.711250;1.133871;3.307123;-0.040211;-0.566879;0.482071;0.000000;0.000000;15.584602;1.523400;0.000000;-1.552337;0.000000;0.000000;-217.902698;1.880735;-0.300000;0.300000;-32.479772;0.000000;-25.033965;48.376747;-4.492338;182.715620;15.584602;25.033965;
1.835047;2.859833;6.772376;1.133051;3.296680;-0.040485;-0.557045;0.269814;0.000000;0.000000;15.206244;1.701302;0.000000;-1.278913;0.000000;0.000000;-255.141555;1.798621;-0.300000;0.300000;-31.916331;0.000000;-25.080963;48.376748;-4.492337;172.522566;15.206244;25.080963;
1.855370;2.888232;6.833054;1.132228;3.286111;-0.040631;-0.551562;0.088613;0.000000;0.000000;15.359993;1.634521;0.000000;-1.638473;0.000000;0.000000;-242.754723;1.832213;-0.300000;0.300000;-31.602165;0.000000;-25.128103;48.376748;-4.492337;176.348838;15.359993;25.128103;
